AMQP FAST 1KB NORMAL 
0, 20, 40, 60, 80, 100, 120, 140, 160, 180
0.03,0.035,0.04,0.036,0.035,0.037,0.035,0.034,0.036,0.035
AMQP FAST 100KB NORMAL
0, 20, 40, 60, 80, 100, 120, 140, 160, 180
0.03,0.037,0.036,0.036,0.037,0.036,0.036,0.036,0.037,0.037
AMQP  FAST   1MB   NORMAL
0, 20, 40, 60, 80, 100, 120, 140, 160, 180 
0.03,0.037,0.041,0.037,0.038,0.038,0.037,0.038,0.038,0.037 
AMQP  TELE   1KB   NORMAL
0, 20, 40, 60, 80, 100, 120, 140, 160, 180 
0.03,0.031,0.031,0.031,0.031,0.031,0.03,0.031,0.031,0.03 
AMQP  TELE   100KB   NORMAL
0, 20, 40, 60, 80, 100, 120, 140, 160, 180 
0.03,0.031,0.031,0.031,0.031,0.031,0.03,0.031,0.03,0.031 
AMQP  TELE   1MB   NORMAL
0, 20, 40, 60, 80, 100, 120, 140, 160, 180 
0.03,0.032,0.032,0.032,0.032,0.031,0.032,0.031,0.033,0.032 
AMQP  ONOFF   1KB   NORMAL
0, 10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180
0.03,0.036,0.031,0.036,0.03,0.035,0.03,0.037,0.031,0.035,0.03,0.035,0.03,0.036,0.031,0.037,0.031,0.035,0.031
AMQP  ONOFF   100KB   NORMAL
0, 10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180
0.03,0.036,0.031,0.036,0.03,0.036,0.031,0.039,0.031,0.039,0.031,0.038,0.031,0.036,0.031,0.036,0.03,0.037,0.031
AMQP  ONOFF   1MB   NORMAL
0, 10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180
0.03,0.037,0.031,0.038,0.031,0.037,0.03,0.037,0.031,0.038,0.03,0.038,0.031,0.038,0.03,0.037,0.03,0.037,0.03
MQTT2  FAST   1KB   NORMAL
0, 20, 40, 60, 80, 100, 120, 140, 160, 180 
0.03,0.033,0.037,0.033,0.033,0.033,0.033,0.033,0.033,0.034 
MQTT2  FAST   100KB   NORMAL
0, 20, 40, 60, 80, 100, 120, 140, 160, 180 
0.031,0.035,0.039,0.035,0.035,0.035,0.035,0.035,0.035,0.035 
MQTT2  FAST   1MB   NORMAL
0, 20, 40, 60, 80, 100, 120, 140, 160, 180 
0.031,0.035,0.036,0.035,0.036,0.036,0.035,0.035,0.036,0.035 
MQTT0  TELE   1KB   NORMAL
0, 20, 40, 60, 80, 100, 120, 140, 160, 180 
0.03,0.034,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031 
MQTT0  TELE   100KB   NORMAL
0, 20, 40, 60, 80, 100, 120, 140, 160, 180 
0.03,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.03,0.031 
MQTT0  TELE   1MB   NORMAL
0, 20, 40, 60, 80, 100, 120, 140, 160, 180 
0.03,0.032,0.03,0.031,0.033,0.031,0.031,0.032,0.031,0.031 
MQTT0  ONOFF   1KB   NORMAL 
0, 10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180
0.03,0.037,0.031,0.038,0.03,0.036,0.031,0.036,0.031,0.036,0.031,0.036,0.031,0.036,0.03,0.036,0.031,0.037,0.031
MQTT0  ONOFF   100KB   NORMAL
0, 10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180
0.03,0.036,0.031,0.038,0.034,0.039,0.031,0.037,0.031,0.038,0.031,0.036,0.034,0.038,0.031,0.038,0.03,0.038,0.031
MQTT0  ONOFF   1MB   NORMAL
0, 10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180
0.03,0.036,0.031,0.036,0.03,0.035,0.03,0.036,0.03,0.036,0.03,0.036,0.031,0.037,0.03,0.036,0.031,0.037,0.03
XMPP  FAST   1KB   NORMAL
0, 20, 40, 60, 80, 100, 120, 140, 160, 180 
0.03,0.039,0.036,0.038,0.039,0.038,0.036,0.036,0.035,0.035 
XMPP  FAST   100KB   NORMAL
0, 20, 40, 60, 80, 100, 120, 140, 160, 180 
0.03,0.039,0.038,0.038,0.039,0.036,0.036,0.037,0.035,0.036 
XMPP  FAST   1MB   NORMAL
0, 20, 40, 60, 80, 100, 120, 140, 160, 180 
0.03,0.038,0.039,0.038,0.035,0.035,0.035,0.036,0.035,0.035 
XMPP  TELE   1KB   NORMAL
0, 20, 40, 60, 80, 100, 120, 140, 160, 180 
0.03,0.031,0.035,0.032,0.031,0.031,0.031,0.031,0.03,0.031 
XMPP  TELE   100KB   NORMAL
0, 20, 40, 60, 80, 100, 120, 140, 160, 180 
0.03,0.031,0.03,0.031,0.031,0.031,0.031,0.031,0.031,0.031 
XMPP  TELE   1MB   NORMAL
0, 20, 40, 60, 80, 100, 120, 140, 160, 180 
0.03,0.031,0.032,0.032,0.034,0.033,0.032,0.032,0.031,0.033 
XMPP  ONOFF   1KB   NORMAL
0, 10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180
0.03,0.038,0.035,0.038,0.034,0.039,0.036,0.035,0.039,0.034,0.035,0.035,0.038,0.035,0.035,0.034,0.035,0.037,0.034
XMPP  ONOFF   100KB   NORMAL
0, 10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180
0.03,0.039,0.035,0.036,0.037,0.035,0.037,0.035,0.036,0.034,0.039,0.035,0.039,0.035,0.039,0.035,0.036,0.035,0.037
XMPP  ONOFF   1MB   NORMAL
0, 10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180
0.03,0.035,0.039,0.039,0.035,0.039,0.034,0.037,0.034,0.039,0.035,0.038,0.035,0.038,0.036,0.034,0.037,0.035,0.037
